"METRIC","REDUND_MET"
"X.BCG_Acidity_att2.3","gregTol_.BCG_Acidity_att2.3"
"X.BCG_Acidity_att5","gregTol_.BCG_Acidity_att5"
"X.BCG_Alkalinity_att2.3","gregTol_.BCG_Alkalinity_att2.3"
"X.BCG_Alkalinity_att5","gregTol_.BCG_Alkalinity_att5"
"X.BCG_spCond_att2.3","gregTol_.EPT45,X.BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3"
"X.BCG_spCond_att5","gregTol_.BCG_spCond_att5"
"X.BCG_Chloride_att2.3","X.BCGatt2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att5"
"X.BCG_Chloride_att5","gregTol_.BCG_Chloride_att5"
"X.BCG_Sulfate_att2.3","gregTol_.BCG_Sulfate_att2.3"
"X.BCG_Sulfate_att5","gregTol_.BCG_Sulfate_att5"
"X.BCG_TNTP_att2.3","X.EPT45,gregTol_.EPT45,gregTol_.BCG_TNTP_att2.3"
"X.BCG_TNTP_att5","STOLPTAX,TOLRPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,gregTol_.BCG_TNTP_att5"
"X.BCG_totHab_att2.3","X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
"X.BCG_totHab_att5","gregTol_.BCG_totHab_att5"
"X.BCG_RBS_att2.3","gregTol_.BCG_RBS_att2.3"
"X.BCG_RBS_att5","gregTol_.BCG_RBS_att5"
"X.BCG_pctIMP_att2.3","X.BCGatt2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"X.BCG_pctIMP_att5","NTOLPTAX,TOLRPTAX,gregTol_NTOLPTAX,gregTol_TOLRPTAX,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"gregTol_Genus.HBI","NTOLPIND,WTD_TV,gregTol_NTOLPIND,gregTol_WTD_TV,Genus.HBI"
"gregTol_BCGatt2.3","NTOLNTAX,gregTol_NTOLNTAX,BCGatt2.3,X.BCGatt2.3,gregTol_.BCGatt2.3"
"gregTol_.BCGatt2.3","X.EPT45,gregTol_.EPT45,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
"gregTol_BCGatt5","BCGatt5,X.BCGatt5,gregTol_.BCGatt5"
"gregTol_.BCGatt5","BCGatt5,X.BCGatt5,gregTol_BCGatt5"
"gregTol_.BCG_DO_att2.3","X.BCG_DO_att2.3,X.BCG_totHab_att2.3,gregTol_.BCG_totHab_att2.3"
"gregTol_.BCG_DO_att5","X.BCG_DO_att5"
"gregTol_.BCG_Acidity_att2.3","X.BCG_Acidity_att2.3"
"gregTol_.BCG_Acidity_att5","X.BCG_Acidity_att5"
"gregTol_.BCG_Alkalinity_att2.3","X.BCG_Alkalinity_att2.3"
"gregTol_.BCG_Alkalinity_att5","X.BCG_Alkalinity_att5"
"gregTol_.BCG_spCond_att2.3","gregTol_.EPT45,X.BCGatt2.3,X.BCG_spCond_att2.3,gregTol_.BCGatt2.3"
"gregTol_.BCG_spCond_att5","X.BCG_spCond_att5"
"gregTol_.BCG_Chloride_att2.3","X.BCGatt2.3,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_pctIMP_att5"
"gregTol_.BCG_Chloride_att5","X.BCG_Chloride_att5"
"gregTol_.BCG_Sulfate_att2.3","X.BCG_Sulfate_att2.3"
"gregTol_.BCG_Sulfate_att5","X.BCG_Sulfate_att5"
"gregTol_.BCG_TNTP_att2.3","X.EPT45,gregTol_.EPT45,X.BCG_TNTP_att2.3"
"gregTol_.BCG_TNTP_att5","STOLPTAX,TOLRPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCG_TNTP_att5"
"gregTol_.BCG_totHab_att2.3","X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_pctIMP_att2.3"
"gregTol_.BCG_totHab_att5","X.BCG_totHab_att5"
"gregTol_.BCG_RBS_att2.3","X.BCG_RBS_att2.3"
"gregTol_.BCG_RBS_att5","X.BCG_RBS_att5"
"gregTol_.BCG_pctIMP_att2.3","X.BCGatt2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att5"
"gregTol_.BCG_pctIMP_att5","NTOLPTAX,TOLRPTAX,gregTol_NTOLPTAX,gregTol_TOLRPTAX,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3"
"HPRIME","DOM1PIND,DOM3PIND,DOM5PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
"DOM1PIND","HPRIME,DOM3PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
"DOM3PIND","HPRIME,DOM1PIND,DOM5PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
"DOM5PIND","HPRIME,DOM3PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
"CHIRDOM1PIND","CHIRNTAX,CHIRDOM3PIND,CHIRDOM5PIND"
"CHIRDOM3PIND","CHIRNTAX,CHIRDOM1PIND,CHIRDOM5PIND"
"CHIRDOM5PIND","CHIRNTAX,CHIRDOM1PIND,CHIRDOM3PIND"
"Genus..2.Dominant","HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,gregTol_Genus..2.Dominant"
"gregTol_Genus..2.Dominant","HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,Genus..2.Dominant"
"BURRNTAX","BURRPTAX"
"BURRPIND",""
"BURRPTAX","BURRNTAX"
"CLMBNTAX","CLMBPTAX"
"CLMBPIND",""
"CLMBPTAX","CLMBNTAX"
"CLNGNTAX",""
"CLNGPIND","X.Clinger.HS,gregTol_.Clinger.HS"
"CLNGPTAX",""
"SPWLNTAX","SPWLPTAX"
"SPWLPIND",""
"SPWLPTAX","SPWLNTAX"
"SWIMNTAX","SWIMPTAX"
"SWIMPIND",""
"SWIMPTAX","SWIMNTAX"
"X.Clinger.HS","CLNGPIND,gregTol_.Clinger.HS"
"gregTol_.Clinger.HS","CLNGPIND,X.Clinger.HS"
"COFINTAX",""
"COFIPIND","COFITRICPIND"
"COFIPTAX",""
"COFITRICNTAX","COFITRICPTAX"
"COFITRICPIND","TRICPIND,COFIPIND"
"COFITRICPTAX","COFITRICNTAX"
"COGANTAX","COGAPTAX"
"COGAPIND",""
"COGAPTAX","COGANTAX"
"PREDNTAX","PREDPTAX"
"PREDPIND",""
"PREDPTAX","PREDNTAX"
"SCRPNTAX","SCRPPTAX"
"SCRPPIND","X.GenusScraper,gregTol_.GenusScraper"
"SCRPPTAX","SCRPNTAX"
"SHRDNTAX","SHRDPTAX"
"SHRDPIND",""
"SHRDPTAX","SHRDNTAX"
"X.Collector","gregTol_.Collector"
"X.GenusScraper","SCRPPIND,gregTol_.GenusScraper"
"gregTol_.Collector","X.Collector"
"gregTol_.GenusScraper","SCRPPIND,X.GenusScraper"
