"METRIC","REDUND_MET"
"gregTol_TL45PTAX","NTOLPTAX,TL45PTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX"
"gregTol_TL67NTAX","TL67NTAX"
"gregTol_TL67PIND","TL67PIND"
"gregTol_TL67PTAX","NTOLPTAX,TL45PTAX,TL67PTAX,gregTol_NTOLPTAX"
"gregTol_TOLRNTAX","TOLRNTAX"
"gregTol_TOLRPIND","FACLPIND,TOLRPIND,gregTol_FACLPIND"
"gregTol_TOLRPTAX","FACLPTAX,NTOLPTAX,TOLRPTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,X.BCG_TNTP_att5,X.BCG_pctIMP_att5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att5"
"gregTol_WTD_TV","NTOLPIND,WTD_TV,gregTol_NTOLPIND,Genus.HBI,gregTol_Genus.HBI"
"Genus.HBI","NTOLPIND,TL45PIND,WTD_TV,gregTol_NTOLPIND,gregTol_WTD_TV,gregTol_Genus.HBI"
"BCGatt2.3","X.EPT45,gregTol_.EPT45,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,NTOLNTAX,TL45NTAX,gregTol_NTOLNTAX,X.BCGatt2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3"
"X.BCGatt2.3","X.EPT45,gregTol_.EPT45,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3"
"BCGatt5","gregTol_BCGatt5"
"X.BCGatt5","gregTol_.BCGatt5"
"X.BCG_DO_att2.3","X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
"X.BCG_DO_att5","gregTol_.BCG_DO_att5"
"X.BCG_Acidity_att2.3","gregTol_.BCG_Acidity_att2.3"
"X.BCG_Acidity_att5","gregTol_.BCG_Acidity_att5"
"X.BCG_Alkalinity_att2.3","gregTol_.BCG_Alkalinity_att2.3"
"X.BCG_Alkalinity_att5","gregTol_.BCG_Alkalinity_att5"
"X.BCG_spCond_att2.3","X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,X.BCGatt2.3,X.BCG_Chloride_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3"
"X.BCG_spCond_att5","gregTol_.BCG_spCond_att5"
"X.BCG_Chloride_att2.3","X.EPT65,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"X.BCG_Chloride_att5","gregTol_.BCG_Chloride_att5"
"X.BCG_Sulfate_att2.3","gregTol_.BCG_Sulfate_att2.3"
"X.BCG_Sulfate_att5","gregTol_.BCG_Sulfate_att5"
"X.BCG_TNTP_att2.3","X.EPT45,gregTol_.EPT45,gregTol_.BCG_TNTP_att2.3"
"X.BCG_TNTP_att5","FACLPTAX,STOLPTAX,TOLRPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,gregTol_.BCG_TNTP_att5"
"X.BCG_totHab_att2.3","X.BCG_DO_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
"X.BCG_totHab_att5","gregTol_.BCG_totHab_att5"
"X.BCG_RBS_att2.3","gregTol_.BCG_RBS_att2.3"
"X.BCG_RBS_att5","gregTol_.BCG_RBS_att5"
"X.BCG_pctIMP_att2.3","X.EPT65,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"X.BCG_pctIMP_att5","NTOLPTAX,TOLRPTAX,gregTol_NTOLPTAX,gregTol_TOLRPTAX,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"gregTol_Genus.HBI","NTOLPIND,WTD_TV,gregTol_NTOLPIND,gregTol_WTD_TV,Genus.HBI"
"gregTol_BCGatt2.3","X.EPT45,gregTol_.EPT45,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,NTOLNTAX,TL45NTAX,gregTol_NTOLNTAX,BCGatt2.3,X.BCGatt2.3,gregTol_.BCGatt2.3"
"gregTol_.BCGatt2.3","X.EPT45,gregTol_.EPT45,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3"
"gregTol_BCGatt5","BCGatt5"
"gregTol_.BCGatt5","X.BCGatt5"
"gregTol_.BCG_DO_att2.3","X.BCG_DO_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
"gregTol_.BCG_DO_att5","X.BCG_DO_att5"
"gregTol_.BCG_Acidity_att2.3","X.BCG_Acidity_att2.3"
"gregTol_.BCG_Acidity_att5","X.BCG_Acidity_att5"
"gregTol_.BCG_Alkalinity_att2.3","X.BCG_Alkalinity_att2.3"
"gregTol_.BCG_Alkalinity_att5","X.BCG_Alkalinity_att5"
"gregTol_.BCG_spCond_att2.3","X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_Chloride_att2.3"
"gregTol_.BCG_spCond_att5","X.BCG_spCond_att5"
"gregTol_.BCG_Chloride_att2.3","X.EPT65,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"gregTol_.BCG_Chloride_att5","X.BCG_Chloride_att5"
"gregTol_.BCG_Sulfate_att2.3","X.BCG_Sulfate_att2.3"
"gregTol_.BCG_Sulfate_att5","X.BCG_Sulfate_att5"
"gregTol_.BCG_TNTP_att2.3","X.EPT45,gregTol_.EPT45,X.BCG_TNTP_att2.3"
"gregTol_.BCG_TNTP_att5","FACLPTAX,STOLPTAX,TOLRPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCG_TNTP_att5"
"gregTol_.BCG_totHab_att2.3","X.BCG_DO_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_pctIMP_att2.3"
"gregTol_.BCG_totHab_att5","X.BCG_totHab_att5"
"gregTol_.BCG_RBS_att2.3","X.BCG_RBS_att2.3"
"gregTol_.BCG_RBS_att5","X.BCG_RBS_att5"
"gregTol_.BCG_pctIMP_att2.3","X.EPT65,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att5"
"gregTol_.BCG_pctIMP_att5","NTOLPTAX,TOLRPTAX,gregTol_NTOLPTAX,gregTol_TOLRPTAX,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3"
"HPRIME","DOM1PIND,DOM3PIND,DOM5PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
"DOM1PIND","HPRIME,DOM3PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
"DOM3PIND","HPRIME,DOM1PIND,DOM5PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
"DOM5PIND","HPRIME,DOM3PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
"CHIRDOM1PIND","CHIRNTAX,CHIRDOM3PIND,CHIRDOM5PIND"
"CHIRDOM3PIND","CHIRNTAX,CHIRDOM1PIND,CHIRDOM5PIND"
"CHIRDOM5PIND","CHIRNTAX,CHIRDOM1PIND,CHIRDOM3PIND"
"Genus..2.Dominant","HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,gregTol_Genus..2.Dominant"
"gregTol_Genus..2.Dominant","HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,Genus..2.Dominant"
"BURRNTAX","BURRPTAX"
"BURRPIND",""
"BURRPTAX","BURRNTAX"
"CLMBNTAX","CLMBPTAX"
"CLMBPIND",""
"CLMBPTAX","CLMBNTAX"
"CLNGNTAX","FACLNTAX,NTOLNTAX,gregTol_NTOLNTAX"
"CLNGPIND","X.Clinger.HS,gregTol_.Clinger.HS"
"CLNGPTAX",""
"SPWLNTAX","SPWLPTAX"
"SPWLPIND",""
"SPWLPTAX","SPWLNTAX"
"SWIMNTAX","SWIMPTAX"
"SWIMPIND",""
