"METRIC","REDUND_MET"
"gregTol_TL45PTAX","NTOLPTAX,TL45PTAX,gregTol_NTOLPTAX"
"gregTol_TL67NTAX","TL67NTAX"
"gregTol_TL67PIND","NTOLPIND,TL45PIND,TL67PIND,gregTol_NTOLPIND,gregTol_TL45PIND"
"gregTol_TL67PTAX","NTOLPTAX,TL45PTAX,TL67PTAX,gregTol_NTOLPTAX"
"gregTol_TOLRNTAX","TOLRNTAX"
"gregTol_TOLRPIND","FACLPIND,TOLRPIND,gregTol_FACLPIND"
"gregTol_TOLRPTAX","X.EPT65,gregTol_.EPT65,FACLPTAX,NTOLPTAX,STOLPTAX,TL45PTAX,TOLRPTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,gregTol_STOLPTAX,X.BCG_spCond_att5,X.BCG_TNTP_att5,X.BCG_totHab_att5,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCG_spCond_att5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_totHab_att5,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"gregTol_WTD_TV","X.EPT.H.C,gregTol_.EPT.H.C,NTOLPIND,TL45PIND,WTD_TV,gregTol_NTOLPIND,Genus.HBI,gregTol_Genus.HBI"
"Genus.HBI","X.EPT.H.C,gregTol_.EPT.H.C,NTOLPIND,TL45PIND,WTD_TV,gregTol_NTOLPIND,gregTol_WTD_TV,gregTol_Genus.HBI"
"BCGatt2.3","X.EPT45,gregTol_.EPT45,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,gregTol_NTOLNTAX,gregTol_TL23NTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_totHab_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_totHab_att2.3"
"X.BCGatt2.3","X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCG_DO_att2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_TNTP_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_TNTP_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
"BCGatt5","gregTol_BCGatt5"
"X.BCGatt5","STOLPTAX,gregTol_STOLPTAX,X.BCG_TNTP_att5,gregTol_.BCGatt5,gregTol_.BCG_TNTP_att5"
"X.BCG_DO_att2.3","X.BCGatt2.3,X.BCG_totHab_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_totHab_att2.3"
"X.BCG_DO_att5","gregTol_.BCG_DO_att5"
"X.BCG_Acidity_att2.3","gregTol_.BCG_Acidity_att2.3"
"X.BCG_Acidity_att5","gregTol_.BCG_Acidity_att5"
"X.BCG_Alkalinity_att2.3","gregTol_.BCG_Alkalinity_att2.3"
"X.BCG_Alkalinity_att5","gregTol_.BCG_Alkalinity_att5"
"X.BCG_spCond_att2.3","X.EPT45,gregTol_.EPT45,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_TNTP_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_TNTP_att2.3,gregTol_.BCG_pctIMP_att2.3"
"X.BCG_spCond_att5","FACLPTAX,TOLRPTAX,gregTol_TOLRPTAX,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att5,gregTol_.BCG_spCond_att5,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att5"
"X.BCG_Chloride_att2.3","X.EPT65,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,X.BCGatt2.3,X.BCG_spCond_att5,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att5,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"X.BCG_Chloride_att5","gregTol_.BCG_Chloride_att5"
"X.BCG_Sulfate_att2.3","gregTol_.BCG_Sulfate_att2.3"
"X.BCG_Sulfate_att5","gregTol_.BCG_Sulfate_att5"
"X.BCG_TNTP_att2.3","X.EPT45,gregTol_.EPT45,X.BCGatt2.3,X.BCG_spCond_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_TNTP_att2.3"
"X.BCG_TNTP_att5","FACLPTAX,STOLPTAX,TOLRPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCGatt5,X.BCG_pctIMP_att5,gregTol_.BCGatt5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att5"
"X.BCG_totHab_att2.3","X.EPT45,gregTol_.EPT45,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
"X.BCG_totHab_att5","FACLPTAX,TOLRPTAX,gregTol_TOLRPTAX,gregTol_.BCG_totHab_att5"
"X.BCG_RBS_att2.3","gregTol_.BCG_RBS_att2.3"
"X.BCG_RBS_att5","gregTol_.BCG_RBS_att5"
"X.BCG_pctIMP_att2.3","EPT_PTAX,X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,TOLRPTAX,gregTol_NTOLPTAX,gregTol_TOLRPTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
